"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.75753685005213e-49,4.88348848141531,0.814,0.29,1.55150737001043e-45,"14","Abcg3"
3.85902308046353e-48,5.14033231016374,0.667,0.179,7.71804616092707e-45,"14","Tmem26"
4.41167555904047e-48,5.34596085123788,0.676,0.171,8.82335111808095e-45,"14","Plxna1"
5.94939219993392e-48,4.00930788954176,0.794,0.281,1.18987843998678e-44,"14","Lrp1"
6.0995229012318e-48,6.24558879049872,0.696,0.191,1.21990458024636e-44,"14","Gm13710"
1.82455853340112e-47,3.58822515079357,0.873,0.383,3.64911706680224e-44,"14","Pid1"
3.63067212791519e-47,4.93370149460564,0.775,0.306,7.26134425583038e-44,"14","Ms4a7"
5.10974564479587e-47,5.42375988065702,0.784,0.306,1.02194912895917e-43,"14","Igf1"
5.89962654277851e-47,4.00413682369214,0.833,0.33,1.1799253085557e-43,"14","Maf"
3.7146398317184e-46,2.87117103589315,0.971,0.642,7.42927966343679e-43,"14","Ptprj"
5.7370833783673e-46,3.83514425549704,0.775,0.285,1.14741667567346e-42,"14","Gm4951"
1.02363604321175e-45,7.78908179903041,0.373,0.037,2.04727208642349e-42,"14","D630033O11Rik"
3.33049396285336e-43,5.2281177759461,0.775,0.286,6.66098792570671e-40,"14","Prkn"
6.29586637980569e-43,4.94207302764672,0.441,0.079,1.25917327596114e-39,"14","Colec12"
8.16366698360908e-43,5.68667361896139,0.578,0.153,1.63273339672182e-39,"14","Slc16a9"
9.20630977934094e-43,6.18165079296327,0.255,0.019,1.84126195586819e-39,"14","Gm31508"
1.21145897155889e-42,6.49390323759931,0.627,0.173,2.42291794311779e-39,"14","Sgip1"
2.56537796219441e-42,2.67005236005261,0.941,0.669,5.13075592438881e-39,"14","Atp8a1"
1.54616728063424e-41,3.64825167590693,0.824,0.354,3.09233456126847e-38,"14","Itsn1"
2.62215205735532e-41,4.3640511108597,0.804,0.39,5.24430411471064e-38,"14","Lgmn"
2.78951888937678e-41,3.50006505048572,0.824,0.411,5.57903777875355e-38,"14","Tbxas1"
1.64436543588164e-40,5.52643320148236,0.745,0.285,3.28873087176328e-37,"14","E230029C05Rik"
1.58291624289077e-39,4.08697623649437,0.647,0.169,3.16583248578155e-36,"14","Itgb5"
2.20326263068493e-39,3.54016369694273,0.863,0.552,4.40652526136986e-36,"14","Slc40a1"
1.31255906503166e-38,3.65020533980984,0.735,0.281,2.62511813006332e-35,"14","Adgre4"
1.78128484484415e-38,2.68277686773929,0.843,0.389,3.56256968968831e-35,"14","Ifi207"
3.88157031993997e-38,4.77649446396517,0.765,0.37,7.76314063987994e-35,"14","Sdc3"
2.1565127621398e-37,5.77885344546893,0.696,0.259,4.31302552427961e-34,"14","Ppp1r9a"
3.91220233103441e-37,3.70274883931422,0.618,0.199,7.82440466206882e-34,"14","Dlc1"
4.55935326825081e-36,4.61672640057555,0.716,0.293,9.11870653650162e-33,"14","Shtn1"
7.70604807806033e-36,5.23490816990606,0.461,0.075,1.54120961561207e-32,"14","Ank2"
1.21889164688203e-35,3.95652681652292,0.755,0.339,2.43778329376406e-32,"14","Gbp8"
1.38273985512772e-35,2.22914670572117,0.931,0.794,2.76547971025545e-32,"14","Camk1d"
1.4880855053434e-35,2.6497395563049,0.882,0.511,2.97617101068679e-32,"14","Ccdc88a"
1.7949578487005e-34,2.5982506319933,0.882,0.533,3.589915697401e-31,"14","Ano6"
6.37316280538982e-34,3.80198557050632,0.735,0.305,1.27463256107796e-30,"14","Eml6"
1.64012966545075e-33,8.34795119221639,0.441,0.099,3.28025933090149e-30,"14","Dock3"
3.37941821888114e-33,5.85507027938301,0.48,0.123,6.75883643776229e-30,"14","Timd4"
6.96988068350103e-33,4.64265951032483,0.706,0.327,1.39397613670021e-29,"14","Spic"
9.18833647353157e-33,4.87526066296398,0.667,0.278,1.83766729470631e-29,"14","Nr1h3"
1.30001261645048e-32,8.37826705822863,0.657,0.281,2.60002523290095e-29,"14","Dgki"
1.97566225324745e-32,4.44870908344313,0.706,0.335,3.9513245064949e-29,"14","Il18"
2.82741669785287e-32,4.95064978943696,0.618,0.19,5.65483339570573e-29,"14","Slc7a8"
5.58249190530856e-32,3.91609121373476,0.392,0.076,1.11649838106171e-28,"14","Src"
5.70895587242082e-32,2.07852429277057,0.775,0.347,1.14179117448416e-28,"14","Arhgef12"
7.11411467199297e-32,6.17628370627319,0.52,0.114,1.42282293439859e-28,"14","Kcnk13"
1.34921034309834e-31,3.12156936221829,0.824,0.495,2.69842068619668e-28,"14","Hdac9"
1.3626760958858e-31,1.69149707533335,1,0.987,2.7253521917716e-28,"14","Malat1"
1.83236598485788e-31,1.71688270126737,0.951,0.774,3.66473196971577e-28,"14","Fyb"
2.74884140908642e-31,2.97273300834503,0.814,0.488,5.49768281817285e-28,"14","Ctsc"
2.89730917380078e-31,4.64885368604459,0.608,0.2,5.79461834760156e-28,"14","Agmo"
2.98813399168974e-31,2.26396313465236,0.931,0.647,5.97626798337949e-28,"14","Gnaq"
3.10061882377708e-31,5.01483160984038,0.667,0.304,6.20123764755415e-28,"14","Cd5l"
6.06374469461735e-31,2.95775166629359,0.569,0.193,1.21274893892347e-27,"14","Stab2"
1.78581281234186e-30,1.93054062097828,0.765,0.355,3.57162562468372e-27,"14","Bank1"
2.27413711223992e-30,4.90245795633388,0.569,0.183,4.54827422447984e-27,"14","Fcna"
3.58689705913562e-30,4.13254328405995,0.392,0.084,7.17379411827123e-27,"14","Gpd1"
5.72902534977381e-30,3.9167178544236,0.706,0.3,1.14580506995476e-26,"14","Glis3"
6.58317763451411e-30,3.56800457043973,0.441,0.096,1.31663552690282e-26,"14","Nfib"
7.78272938998029e-30,3.09987684126393,0.51,0.106,1.55654587799606e-26,"14","Paqr9"
1.38919629650812e-29,6.57622375464362,0.402,0.085,2.77839259301624e-26,"14","Colq"
2.90664399396883e-29,1.96878468857173,0.765,0.31,5.81328798793765e-26,"14","Blnk"
2.92364374195334e-29,5.6446718660879,0.363,0.08,5.84728748390669e-26,"14","Gdf15"
8.25010342549495e-29,3.32934528100372,0.755,0.432,1.65002068509899e-25,"14","Hmox1"
1.06903307992141e-28,2.08818374370832,0.833,0.44,2.13806615984283e-25,"14","Maml2"
7.4971385070005e-28,2.90273173510624,0.706,0.34,1.4994277014001e-24,"14","Clec4a1"
1.06783112783957e-27,3.65940499223383,0.676,0.299,2.13566225567914e-24,"14","Cdk14"
1.70230825409352e-27,4.07925844162773,0.627,0.215,3.40461650818704e-24,"14","Nrp2"
1.9676086895134e-27,4.35976047111533,0.48,0.14,3.93521737902679e-24,"14","Mcc"
3.64266273788874e-27,2.89110763041409,0.706,0.332,7.28532547577749e-24,"14","Nav1"
4.88888369976939e-27,2.30357992025195,0.608,0.205,9.77776739953877e-24,"14","Myo1e"
5.60741310055855e-27,4.44491703415837,0.598,0.198,1.12148262011171e-23,"14","Rnf180"
1.10231568375393e-26,7.01812118341765,0.412,0.091,2.20463136750786e-23,"14","Col14a1"
1.43374445667842e-26,3.94385673931227,0.676,0.358,2.86748891335684e-23,"14","C1qb"
2.90218269244597e-26,4.39286039456364,0.647,0.314,5.80436538489193e-23,"14","Mafb"
2.99596203539752e-26,1.99363201076065,0.833,0.452,5.99192407079504e-23,"14","Lpp"
4.97766865239551e-26,3.59647463094927,0.618,0.258,9.95533730479101e-23,"14","Tns1"
8.60720352506908e-25,2.29523785045166,0.775,0.432,1.72144070501382e-21,"14","Hycc1"
2.19225794423314e-24,4.12507513351818,0.49,0.157,4.38451588846627e-21,"14","Mras"
2.24985499896567e-24,2.33887804770057,0.745,0.394,4.49970999793135e-21,"14","Nfia"
2.39466126690293e-24,1.81484205761311,0.775,0.446,4.78932253380586e-21,"14","Blvrb"
2.71020323824171e-24,1.82379645561178,0.853,0.601,5.42040647648341e-21,"14","Chd9"
3.28595769888846e-24,3.85289980790575,0.608,0.281,6.57191539777692e-21,"14","Ptk2"
3.69349250844613e-24,5.04469635173188,0.294,0.051,7.38698501689227e-21,"14","Gm50020"
9.44460305244336e-24,1.36379314175315,0.961,0.764,1.88892061048867e-20,"14","Gphn"
3.5824948725092e-23,2.23073217854266,0.824,0.5,7.1649897450184e-20,"14","Zswim6"
5.63125085262856e-23,2.72603716494385,0.833,0.76,1.12625017052571e-19,"14","Ctsb"
6.22736551296362e-23,3.72531505025458,0.373,0.084,1.24547310259272e-19,"14","Hpn"
6.54302031315057e-23,3.27470583942128,0.716,0.481,1.30860406263011e-19,"14","Lipa"
8.95269836756696e-23,3.72864907769019,0.549,0.222,1.79053967351339e-19,"14","Clec4b1"
9.44742645508828e-23,2.82929709957997,0.716,0.401,1.88948529101766e-19,"14","Arhgap10"
2.32356868501293e-22,3.39804111995612,0.549,0.197,4.64713737002586e-19,"14","Ophn1"
3.9652704285569e-22,4.24483698393693,0.618,0.337,7.9305408571138e-19,"14","C1qa"
4.04423343718162e-22,2.5214359284615,0.735,0.414,8.08846687436325e-19,"14","Immp2l"
4.36804620095955e-22,3.52623579990901,0.353,0.092,8.73609240191909e-19,"14","Sytl4"
4.50537720600289e-22,2.34602945518754,0.716,0.4,9.01075441200579e-19,"14","D5Ertd579e"
5.02259940407757e-22,3.989782113437,0.637,0.367,1.00451988081551e-18,"14","C1qc"
6.13901429870916e-22,2.90335172866221,0.676,0.35,1.22780285974183e-18,"14","Fer"
6.51235462210704e-22,3.05885562260205,0.627,0.277,1.30247092442141e-18,"14","Airn"
4.1059867961584e-21,3.00713074021427,0.627,0.342,8.2119735923168e-18,"14","Hebp1"
9.01685570574013e-21,2.53094718187613,0.676,0.416,1.80337114114803e-17,"14","Iigp1"
9.39614603375029e-21,1.88853825681654,0.578,0.255,1.87922920675006e-17,"14","Cpeb3"
1.01036600110536e-20,2.30968716339407,0.627,0.28,2.02073200221073e-17,"14","Clec4a3"
1.23907677476138e-20,2.64446409779373,0.647,0.337,2.47815354952277e-17,"14","Mink1"
1.70305520782508e-20,2.57324673482783,0.392,0.115,3.40611041565016e-17,"14","Cd300e"
2.00710538399779e-20,1.7494245448791,0.824,0.57,4.01421076799558e-17,"14","Ctss"
2.14904498148072e-20,2.88897049812617,0.588,0.3,4.29808996296143e-17,"14","Rab3il1"
8.16044537352936e-20,1.58409586622021,0.745,0.391,1.63208907470587e-16,"14","Fndc3b"
9.0246764842685e-20,2.84383030423326,0.657,0.379,1.8049352968537e-16,"14","Tsc22d1"
9.510284431781e-20,4.86145895752531,0.412,0.132,1.9020568863562e-16,"14","Rnf17"
2.24697375734945e-19,3.03977499083401,0.569,0.272,4.49394751469889e-16,"14","Kitl"
2.55878585943252e-19,7.64936684472529,0.382,0.108,5.11757171886504e-16,"14","4933427D06Rik"
3.1316462462132e-19,2.32630104984501,0.696,0.439,6.2632924924264e-16,"14","Aplp2"
8.32996607363297e-19,1.42689009247556,0.755,0.45,1.66599321472659e-15,"14","Lpin2"
1.23085181094926e-18,4.77061065975496,0.441,0.168,2.46170362189852e-15,"14","Ccr3"
2.03633226672196e-18,2.95444936886122,0.529,0.24,4.07266453344392e-15,"14","Wdpcp"
2.89804076711905e-18,1.20189895930426,0.902,0.668,5.79608153423811e-15,"14","Cd84"
3.19065534695905e-18,2.99813626360986,0.676,0.457,6.38131069391809e-15,"14","Trf"
5.45255817479923e-18,2.9831074783767,0.588,0.331,1.09051163495985e-14,"14","Lap3"
6.2781786442803e-18,2.3923869572911,0.549,0.254,1.25563572885606e-14,"14","Fcgr1"
6.47087963014102e-18,2.87246911520342,0.716,0.59,1.2941759260282e-14,"14","Cfp"
8.68783488942698e-18,2.32469789573719,0.647,0.375,1.7375669778854e-14,"14","Ppp1r12b"
1.28206378014805e-17,1.57641662187164,0.755,0.456,2.56412756029609e-14,"14","Cpeb4"
1.99666651169671e-17,4.68067483710983,0.382,0.122,3.99333302339342e-14,"14","Cd163"
3.42608634557934e-17,2.09612421191463,0.637,0.339,6.85217269115869e-14,"14","Cpeb2"
4.24800179073837e-17,3.97176116348307,0.49,0.233,8.49600358147675e-14,"14","C4b"
5.29665185122116e-17,3.76775126958816,0.588,0.328,1.05933037024423e-13,"14","Lpl"
8.50411737212945e-17,3.00644296549551,0.333,0.096,1.70082347442589e-13,"14","Sh3bgrl2"
9.00668565694345e-17,3.74101486427347,0.363,0.115,1.80133713138869e-13,"14","Loxl3"
1.02351785877477e-16,4.51973369937676,0.294,0.069,2.04703571754955e-13,"14","Cox4i2"
1.03044157649075e-16,2.74650366344479,0.569,0.311,2.06088315298149e-13,"14","Slc29a1"
1.19551832322569e-16,2.46530740982629,0.627,0.391,2.39103664645138e-13,"14","A330040F15Rik"
1.38394695211404e-16,0.942570508405269,0.667,0.374,2.76789390422808e-13,"14","Marchf3"
1.58621251627216e-16,3.26077901345345,0.647,0.435,3.17242503254433e-13,"14","Apoe"
