"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.59595079278321e-98,4.07638998227242,0.771,0.242,5.19190158556642e-95,"8","Cenpp"
3.89037312536915e-98,2.86240220298097,0.831,0.277,7.7807462507383e-95,"8","Smc2"
9.05834797081377e-98,5.21580228149086,0.731,0.122,1.81166959416275e-94,"8","Kif11"
1.1702676778635e-97,3.63915017645256,0.256,0.018,2.34053535572699e-94,"8","Cx3cl1"
1.20345395047338e-97,2.39944024124955,0.512,0.062,2.40690790094677e-94,"8","Itgb2l"
1.3568855115578e-97,4.25292322301455,0.651,0.131,2.71377102311561e-94,"8","Sgo1"
6.41365653327442e-97,4.29580430684458,0.741,0.173,1.28273130665488e-93,"8","Prc1"
2.93414719952779e-95,1.06997134167707,0.435,0.067,5.86829439905558e-92,"8","Trav7-6"
5.31638869046364e-95,1.33082289834416,0.365,0.033,1.06327773809273e-91,"8","Pdia5"
3.10525605517108e-94,3.35147397400896,0.581,0.152,6.21051211034216e-91,"8","Abca13"
1.22063644315863e-92,4.39102322121945,0.674,0.128,2.44127288631726e-89,"8","Ccnb2"
1.56367659740714e-92,1.12795786858825,0.548,0.114,3.12735319481427e-89,"8","Chil1"
4.32974356047425e-92,2.01665854953357,0.322,0.035,8.65948712094851e-89,"8","Gm4208"
7.37134759034213e-92,2.37078756081352,0.86,0.355,1.47426951806843e-88,"8","Tfdp1"
1.02819300785152e-91,2.95919068733313,0.279,0.028,2.05638601570303e-88,"8","Htr2a"
6.34035639599992e-90,5.27008836404933,0.608,0.057,1.26807127919998e-86,"8","Stil"
7.00311849780193e-90,2.31590166088247,0.468,0.049,1.40062369956038e-86,"8","Gm34680"
1.87196736903538e-88,0.346561222985149,0.339,0.014,3.74393473807076e-85,"8","Gpr141b"
6.03586906426696e-88,1.97465711728917,0.874,0.329,1.20717381285339e-84,"8","Lmnb1"
1.48626818854671e-87,4.44020579899919,0.561,0.05,2.97253637709341e-84,"8","Bub1"
4.23900727949142e-87,4.5370812081172,0.645,0.151,8.47801455898285e-84,"8","Parpbp"
4.54404141767561e-87,2.36547061474981,0.854,0.331,9.08808283535123e-84,"8","Ezh2"
5.78028736183236e-87,1.60008202077555,0.349,0.037,1.15605747236647e-83,"8","5730522E02Rik"
6.54052725316088e-87,4.6331321447082,0.429,0.025,1.30810545063218e-83,"8","Pla2g4c"
6.98729524978327e-87,4.21237651963252,0.508,0.035,1.39745904995665e-83,"8","Ska1"
9.67992149618864e-87,2.28077670469846,0.917,0.583,1.93598429923773e-83,"8","Tubb5"
5.27643589489472e-86,2.63612076948935,0.817,0.337,1.05528717897894e-82,"8","Rrm1"
1.66721564077667e-85,4.2486358299296,0.316,0.047,3.33443128155334e-82,"8","Cacna2d3"
3.81041090045343e-85,4.25217157737413,0.718,0.23,7.62082180090686e-82,"8","Ect2"
2.74566544022941e-84,1.80643633172082,0.857,0.35,5.49133088045883e-81,"8","Anxa1"
2.88594667765975e-84,2.98512374921343,0.89,0.531,5.7718933553195e-81,"8","Hmgn2"
3.68866393495029e-84,4.07133357850985,0.585,0.092,7.37732786990057e-81,"8","Cdc6"
9.06389147547526e-84,2.27742717495859,0.904,0.698,1.81277829509505e-80,"8","H2az1"
1.29756174860512e-83,4.32155612090807,0.671,0.146,2.59512349721023e-80,"8","Cdk1"
1.35289190290954e-83,1.11107167387411,0.691,0.199,2.70578380581909e-80,"8","Trem3"
2.87637323755346e-83,2.33295532117804,0.831,0.305,5.75274647510692e-80,"8","Ncapd3"
3.04069533174682e-83,1.74053116167267,0.841,0.28,6.08139066349364e-80,"8","Vcl"
3.65739937299689e-83,5.93368927989344,0.355,0.012,7.31479874599379e-80,"8","Plppr3"
9.49426774501016e-83,2.53105399523656,0.365,0.041,1.89885354900203e-79,"8","Prg3"
5.35131496879649e-82,1.96342625900864,0.518,0.086,1.0702629937593e-78,"8","Nipa1"
1.40615115628515e-81,2.45344862656858,0.85,0.438,2.8123023125703e-78,"8","Tuba1b"
1.58019909117127e-81,3.65589005393598,0.711,0.219,3.16039818234254e-78,"8","Bard1"
4.34618308091721e-81,2.08176250239995,0.867,0.373,8.69236616183442e-78,"8","Tuba4a"
9.52291439402623e-81,4.73692898480905,0.605,0.062,1.90458287880525e-77,"8","Neil3"
2.26635643935549e-80,1.23865055489408,0.535,0.068,4.53271287871098e-77,"8","Dennd2b"
8.25559196385849e-80,0.630919081821196,0.661,0.182,1.6511183927717e-76,"8","Gpr141"
4.34651185317155e-79,4.17892112252298,0.645,0.137,8.6930237063431e-76,"8","Ccnf"
4.47124391971117e-79,1.60157462107989,0.967,0.826,8.94248783942234e-76,"8","Ptma"
6.60832724039717e-79,3.55356270962336,0.359,0.042,1.32166544807943e-75,"8","Adamts3"
2.94618849842686e-78,1.40245479396905,0.615,0.147,5.89237699685371e-75,"8","Agap1"
5.93725011086878e-77,4.31304000995634,0.442,0.057,1.18745002217376e-73,"8","Aff2"
1.26266157704724e-76,4.4859828204681,0.485,0.03,2.52532315409448e-73,"8","Kif2c"
2.47341840164202e-76,1.77620590684002,0.508,0.081,4.94683680328404e-73,"8","Gna14"
7.19072075312708e-76,3.23492571757281,0.751,0.298,1.43814415062542e-72,"8","Cks1b"
1.22559339792702e-75,1.27692893952521,0.482,0.092,2.45118679585404e-72,"8","Igsf3"
2.9711654955103e-75,2.52219945514799,0.774,0.321,5.94233099102059e-72,"8","Mcm7"
4.20495686678088e-75,4.19805126170259,0.638,0.099,8.40991373356176e-72,"8","Anln"
1.28660096027695e-74,2.87960891294667,0.465,0.075,2.5732019205539e-71,"8","Septin5"
3.51451665367588e-74,4.36523768745178,0.631,0.166,7.02903330735175e-71,"8","Spc24"
3.76534756048025e-74,3.88499769545451,0.674,0.182,7.5306951209605e-71,"8","Rrm2"
3.85134470046146e-74,1.42140271624793,0.475,0.122,7.70268940092292e-71,"8","Ctnnd2"
4.92382956839738e-74,1.53697029317153,0.937,0.758,9.84765913679476e-71,"8","Hmgb1"
1.07471369617699e-73,2.80232507685227,0.757,0.272,2.14942739235398e-70,"8","Gmnn"
1.09690004809054e-73,2.26812836355747,0.585,0.112,2.19380009618107e-70,"8","Ly6a2"
2.14588277265394e-73,1.84515089077124,0.591,0.158,4.29176554530789e-70,"8","Slc22a4"
